0001 Flood Pop 6 1 1
0002 Frank's Way 6 117 1
0003 Sky Beat 6 120 1
0004 Home Beat 6 121 1
0005 Slow Beat 6 122 1
0006 Fate Beat 6 80 1
0007 Romantic Beat 6 81 1
0008 Due Beat 6 124 1
0009 Acoustic Ballad 6 125 1
0010 Adult Contemp 6 126 1
0011 Gold Slow Beat 7 10 1
0012 Gold Medium Beat 7 11 1
0013 Sunshine Pop 6 114 1
0014 Euro Ballad 6 80 1
0015 Killing Beat 6 3 1
0016 Jessie Beat 6 4 1
0017 Pink Beat 6 5 1
0018 Billy Beat 7 114 1
0019 Breakin'Beat 7 115 1
0020 Fancy Beat 7 116 1
0021 Gold Beat 7 118 1
0022 UK Shuffle 4 23 1
0023 Eric Beat 68 14 1
0024 Strummin' Pop 68 11 1
0025 Amazing Gospel 68 12 1
0026 Night Ballad 68 5 1
0027 6_8 Pop 68 9 1
0028 Love Sl Rock 5 57 1
0029 Unplugged Pop 68 2 1
0030 Unplugged Ballad 68 1 1
0031 Cool Live Band 68 8 1
0032 Acoustic Pop 68 6 1
0033 Rolling Rock 1 1 1
0034 Green Rock 1 83 1
0035 Spring Rock 1 80 1
0036 Broken Beat 1 81 1
0037 Straight Rock 1 82 1
0038 Joe's Rock 1 72 1
0039 Countdown Rock 1 69 1
0040 Cool Shuffle 1 76 1
0041 Breaky Rock 1 68 1
0042 LoveRock 1 77 1
0043 Electro Rock 1 62 1
0044 Peas Disco 66 1 1
0045 California Disco 66 2 1
0046 Edge Disco 66 3 1
0047 Saxo Disco 66 4 1
0048 Broken Dance 66 5 1
0049 Beat Generation 66 60 1
0050 Seventies 66 61 1
0051 Volare Gipsy 66 62 1
0052 Night'sDance 66 63 1
0053 Jamiro Dance 66 57 1
0054 Just Disco 66 58 1
0055 2000's Disco 66 59 1
0056 Slow Disco 66 56 1
0057 Gold Disco 66 65 1
0058 Ladies Dance 66 28 1
0059 Fire Beat 66 11 1
0060 Survive Disco 66 21 1
0061 Dancin' 66 26 1
0062 Earth Boogie 66 34 1
0063 DJ Groove 66 33 1
0064 Hitmix 66 6 1
0065 Club House 66 9 1
0066 Hard Techno 66 8 1
0067 Barry Dance 66 13 1
0068 Tarantella Disco 53 7 1
0069 Poppin' Schlager 5 1 1
0070 Folk Schlager 5 2 1
0071 Disco Schlager 5 46 1
0072 Happy Schlager 5 44 1
0073 Schlager Pop 5 42 1
0074 Spear Beat 28 22 1
0075 Baby Beat 28 19 1
0076 Downtown Funk 28 17 1
0077 Wahoo Groove 28 18 1
0078 Rap Anthem 33 13 1
0079 Now Hip Hop 66 16 1
0080 BlueEyesBand 12 41 1
0081 8 OrganSwingMedium 12 42 1
0082 OrganJazzFast 12 43 1
0083 Gold Swing 12 44 1
0084 Swingin' 12 45 1
0085 Cool Big Band 12 46 1
0086 Breezy Swing 14 25 1
0087 Biggest Band 14 24 1
0088 Midnight SlSwing 12 35 1
0089 Big Band Slow 14 18 1
0090 Big Band Medium 14 19 1
0091 Big Band Fast 14 20 1
