0001 NaturalPiano 0 4 1
0002 SuperiorPian 47 4 1
0003 ClassicPiano 0 4 2
0004 UprightPiano 1 4 1
0005 Brite Piano 1 4 2
0006 Mild Piano 2 4 1
0007 MonoAcPiano 45 4 1
0008 Rock Piano 2 4 2
0009 Piano+String 24 4 1
0010 Piano+Choir 26 4 1
0011 StackedPiano 47 4 3
0012 RD Piano 1 0 4 3
0013 RD Piano 1 w 8 4 3
0014 Dance Piano 80 4 2
0015 Honky-tonk 1 0 4 4
0016 Honky-tonk 2 8 4 4
0017 Vintage EP1 81 4 5
0018 Vintage EP2 82 4 5
0019 Stage 80 4 5
0020 Pro Stage 47 4 5
0021 Phase EP 44 4 5
0022 Tremolo EP 46 4 5
0023 Dist E.Piano 17 4 5
0024 E.Piano 1 0 4 5
0025 E.Piano 2 0 4 6
0026 FM EPiano1 80 4 6
0027 FM EPiano2 81 4 6
0028 FM+SA EP 16 4 5
0029 St.FM EP 16 4 6
0030 Hard FM EP 24 4 6
0031 EP Phase 32 4 6
0032 St.Soft EP 8 4 5
0033 MIDI EPiano1 1 4 3
0034 MIDI EPiano2 2 4 3
0035 Wurly 24 4 5
0036 Clav. 1 1 4 8
0037 Clav. 2 0 4 8
0038 Phase Clav 17 4 8
0039 JP8000 Clav. 38 4 8
0040 Reso Clav. 16 4 8
0041 Harpsichord1 2 4 7
0042 Harpsi.w 0 4 7
0043 Vibraphone 0 4 12
0044 Vibraphone w 8 4 12
0045 Pop Vibe. 1 4 12
0046 Marimba w 0 4 13
0047 Xylophone w 0 4 14
0048 Balafon 17 4 13
0049 Balafon SRX 15 5 13
0050 Glockenspiel 0 4 10
0051 Celesta 0 4 9
0052 Pop Celesta 1 4 9
0053 Music Box 1 0 4 11
0054 Music Box 2 1 4 11
0055 Tubular-bell 0 4 15
0056 B3 Sermon 12 4 17
0057 Blues Perc 80 4 18
0058 All Skate! 82 4 18
0059 R&B B3 83 4 18
0060 HeavyTraffic 81 4 19
0061 Stevie's B3 82 4 17
0062 Dyno Rotary 82 4 19
0063 Hang Twice 85 4 18
0064 Felix Ballad 84 4 18
0065 XV Organ 80 4 19
0066 B3 Has Come 88 4 18
0067 Head Up B3 80 4 17
0068 Br.Ballad B3 81 4 17
0069 Organ 1 0 4 17
0070 Organ 2 0 4 18
0071 Organ 3 0 4 19
0072 Ful Organ 1 2 4 17
0073 Ful Organ 2 3 4 17
0074 Ful Organ 3 4 4 17
0075 Ful Organ 4 10 4 17
0076 Church Org.1 0 4 20
0077 Church Org.2 8 4 20
0078 Organ Flute 24 4 20
0079 Theater Org. 33 4 20
0080 Reed Organ 0 4 21
0081 60's Organ 16 4 17
0082 Org Jazz1 /9 83 4 19
0083 Jazz Organ 1 1 4 18
0084 Jazz Organ 3 4 4 18
0085 Perc.Organ 1 32 4 18
0086 Perc.Organ 2 33 4 18
0087 Perc.Organ 3 34 4 18
0088 Full Perc 87 4 18
0089 Fire Perc 86 4 18
0090 Rock Organ 17 4 19
0091 Rotary Org.S 16 4 19
0092 Rotary Org.F 24 4 19
0093 Rotary Organ 8 4 19
0094 L-Organ 47 4 19
0095 Mellow 1 83 4 17
0096 Cheese Organ 24 4 17
0097 D-50 Organ 25 4 17
0098 Trem. Organ 8 4 17
0099 E.Organ 16+2 2 4 18
0100 70's E.Organ 32 4 17
0101 Mellow Harm 0 4 23
0102 Hand Harm. 51 4 23
0103 B.Harp Basic 8 4 23
0104 B.Harp Suppl 9 4 23
0105 Acc. Master 69 4 22
0106 Acc. Classic 68 4 22
0107 Italian Folk 52 4 22
0108 Fr. Musette 53 4 22
0109 Steierische 54 4 22
0110 Bandoneon_1 8 4 24
0111 Bandoneon_2 0 4 24
0112 Bandoneon_3 52 4 24
0113 Soft Accord 25 4 22
0114 Accordion Fr 64 4 22
0115 Accordion It 8 4 22
0116 OrganAcc 12 2 22
0117 OboeAcc 13 2 22
0118 ViolinAcc 14 2 22
0119 It Musette 15 2 22
0120 AccR16 16 2 22
0121 AccR8 17 2 22
0122 AccR8S 18 2 22
0123 AccR4 19 2 22
0124 Warm Drive 65 4 30
0125 Clean Solid 69 4 28
0126 Clean Elect. 64 4 28
0127 Clean El Oct 65 4 28
0128 Clean Gt. 0 4 28
0129 Clean Mute 67 4 29
0130 Dynamic Mute 66 4 28
0131 Jazz Guitar1 62 4 27
0132 Jazz Guitar2 80 4 27
0133 Jazz Gt. 0 4 27
0134 PedalSteel 8 4 27
0135 Mellow Gt. 1 4 27
0136 JC ChrusGt 9 4 28
0137 JC CleanGt 4 4 28
0138 Chorus Gt 8 4 28
0139 Distortion 64 4 31
0140 Distort Gt1 3 4 31
0141 Distort Gt2 1 4 31
0142 Distort Gt3 0 4 31
0143 Dist. Mute 64 4 29
0144 Muted Over 68 4 29
